,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_num,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",1,4,64,32,8kB,5,1,16,cache,1,0,1,0,4,4096,16,1,16,3.39816,3.71663,0.318476,1.27818,0.356335,1.63451,5.35115,18694,33806.7,8098,27118.8,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,60925.6
1,"['A', 'I']",1,4,64,32,8kB,5,1,16,cache,1,0,1,0,4,4096,16,8,16,3.68631,4.05405,0.367734,1.3871,0.356335,1.74344,5.79749,17226,39286.7,6750,27118.8,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,66405.5
2,"['A', 'I']",1,16,64,32,8kB,5,1,16,cache,1,0,1,0,4,4096,16,1,16,3.39816,3.71663,0.318476,1.27818,0.356335,1.63451,5.35115,18694,33806.7,8098,27118.8,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,60925.6
3,"['A', 'I']",1,16,64,32,8kB,5,1,16,cache,1,0,1,0,4,4096,16,8,16,3.68631,4.05405,0.367734,1.3871,0.356335,1.74344,5.79749,17226,39286.7,6750,27118.8,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,66405.5
4,"['A', 'I']",1,4,64,32,16kB,5,1,16,cache,1,0,1,0,4,4096,16,1,16,3.39816,3.71663,0.318476,2.14773,0.649817,2.79755,6.51418,18694,33806.7,8098,52485.5,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,86292.3
5,"['A', 'I']",1,4,64,32,16kB,5,1,16,cache,1,0,1,0,4,4096,16,8,16,3.68631,4.05405,0.367734,2.33076,0.649817,2.98058,7.03462,17226,39286.7,6750,52485.5,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,91772.2
6,"['A', 'I']",1,16,64,32,16kB,5,1,16,cache,1,0,1,0,4,4096,16,1,16,3.39816,3.71663,0.318476,2.14773,0.649817,2.79755,6.51418,18694,33806.7,8098,52485.5,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,86292.3
7,"['A', 'I']",1,16,64,32,16kB,5,1,16,cache,1,0,1,0,4,4096,16,8,16,3.68631,4.05405,0.367734,2.33076,0.649817,2.98058,7.03462,17226,39286.7,6750,52485.5,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,91772.2
8,"['A', 'I']",1,4,64,32,8kB,10,1,16,cache,1,0,1,0,4,4096,16,1,16,3.47385,3.79972,0.325868,0.638099,0.356335,0.994434,4.79415,18723,35354.7,8127,27118.8,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,62473.5
9,"['A', 'I']",1,4,64,32,8kB,10,1,16,cache,1,0,1,0,4,4096,16,8,16,3.76883,4.14653,0.377699,0.692427,0.356335,1.04876,5.19529,17254,41350.6,6777,27118.8,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,68469.4
10,"['A', 'I']",1,16,64,32,8kB,10,1,16,cache,1,0,1,0,4,4096,16,1,16,3.47385,3.79972,0.325868,0.638099,0.356335,0.994434,4.79415,18723,35354.7,8127,27118.8,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,62473.5
11,"['A', 'I']",1,16,64,32,8kB,10,1,16,cache,1,0,1,0,4,4096,16,8,16,3.76883,4.14653,0.377699,0.692427,0.356335,1.04876,5.19529,17254,41350.6,6777,27118.8,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,68469.4
12,"['A', 'I']",1,4,64,32,16kB,10,1,16,cache,1,0,1,0,4,4096,16,1,16,3.47385,3.79972,0.325868,1.0722,0.649817,1.72202,5.52173,18723,35354.7,8127,52485.5,54,2,4,3,./outputs/mat_inv-gem5-accel,mat_inv,87840.2
13,"['A', 'I']",1,4,64,32,16kB,10,1,16,cache,1,0,1,0,4,4096,16,8,16,3.76883,4.14653,0.377699,1.16349,0.649817,1.81331,5.95983,17254,41350.6,6777,52485.5,57,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,93836.1
