,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,64,4,16,spad,block,True,1,4,4,1,2.78229,3.69059,0.908302,0.106011,0.10043,0.206441,3.89703,28433,83842.4,13742,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
1,"['A', 'I']",5,64,4,16,spad,block,True,1,4,4,8,2.85656,3.7767,0.920134,0.108875,0.10043,0.209305,3.986,27685,84799.4,13105,6739.31,284,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,91538.7
2,"['A', 'I']",5,64,4,16,spad,block,True,1,4,8,1,3.51762,4.42593,0.908302,0.133959,0.10043,0.234389,4.66031,22501,83842.4,8881,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
3,"['A', 'I']",5,64,4,16,spad,block,True,1,4,8,8,3.63743,4.55757,0.920134,0.138565,0.10043,0.238995,4.79656,21753,84799.4,8244,6739.31,284,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,91538.7
4,"['A', 'I']",5,64,4,16,spad,block,True,1,4,16,1,3.73524,4.64355,0.908302,0.144511,0.10043,0.244941,4.88849,20858,83842.4,7352,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
5,"['A', 'I']",5,64,4,16,spad,block,True,1,4,16,8,3.87294,4.79307,0.920134,0.149886,0.10043,0.250316,5.04339,20110,84799.4,6715,6739.31,284,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,91538.7
6,"['A', 'I']",5,64,4,16,spad,block,True,1,16,4,1,2.78229,3.69059,0.908302,0.106011,0.10043,0.206441,3.89703,28433,83842.4,13742,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
7,"['A', 'I']",5,64,4,16,spad,block,True,1,16,4,8,2.85656,3.7767,0.920134,0.108875,0.10043,0.209305,3.986,27685,84799.4,13105,6739.31,284,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,91538.7
8,"['A', 'I']",5,64,4,16,spad,block,True,1,16,8,1,3.51762,4.42593,0.908302,0.133959,0.10043,0.234389,4.66031,22501,83842.4,8881,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
9,"['A', 'I']",5,64,4,16,spad,block,True,1,16,8,8,3.63743,4.55757,0.920134,0.138565,0.10043,0.238995,4.79656,21753,84799.4,8244,6739.31,284,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,91538.7
10,"['A', 'I']",5,64,4,16,spad,block,True,1,16,16,1,3.73524,4.64355,0.908302,0.144511,0.10043,0.244941,4.88849,20858,83842.4,7352,6739.31,279,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,90581.7
