,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_num,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,4,16,1,16,13.4222,17.8762,4.454,0.501809,0.40172,0.903529,18.7797,47699,435021,31803,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
1,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,4,16,1,32,17.8788,22.3328,4.454,0.668466,0.40172,1.07019,23.403,35807,435021,21895,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
2,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,4,16,8,16,14.1474,18.6554,4.50799,0.528932,0.40172,0.930653,19.5861,45253,440884,29543,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
3,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,4,16,8,32,19.1893,23.6973,4.50799,0.717478,0.40172,1.1192,24.8165,33361,440884,19635,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
4,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,16,16,1,16,13.4222,17.8762,4.454,0.501809,0.40172,0.903529,18.7797,47699,435021,31803,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
5,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,16,16,1,32,17.8788,22.3328,4.454,0.668466,0.40172,1.07019,23.403,35807,435021,21895,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
6,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,16,16,8,16,14.1474,18.6554,4.50799,0.528932,0.40172,0.930653,19.5861,45253,440884,29543,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
7,"['A', 'I']",5,256,16,32,spad,cyclic,True,0,16,16,8,32,19.1893,23.6973,4.50799,0.717478,0.40172,1.1192,24.8165,33361,440884,19635,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
8,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,16,1,16,13.4239,17.8779,4.454,0.501945,0.40172,0.903666,18.7816,47686,435021,31793,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
9,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,16,1,32,17.8826,22.3366,4.454,0.668709,0.40172,1.07043,23.4071,35794,435021,21885,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
10,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,16,8,16,14.1494,18.6574,4.50799,0.529084,0.40172,0.930805,19.5882,45240,440884,29533,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
11,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,4,16,8,32,19.1939,23.7019,4.50799,0.717757,0.40172,1.11948,24.8214,33348,440884,19625,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
12,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,16,1,16,13.4239,17.8779,4.454,0.501945,0.40172,0.903666,18.7816,47686,435021,31793,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
13,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,16,1,32,17.8826,22.3366,4.454,0.668709,0.40172,1.07043,23.4071,35794,435021,21885,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,461978
14,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,16,8,16,14.1494,18.6574,4.50799,0.529084,0.40172,0.930805,19.5882,45240,440884,29533,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
15,"['A', 'I']",5,256,16,32,spad,cyclic,True,1,16,16,8,32,19.1939,23.7019,4.50799,0.717757,0.40172,1.11948,24.8214,33348,440884,19625,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,467841
16,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,16,1,16,14.0015,18.5691,4.56759,0.523587,0.803441,1.32703,19.8961,45715,444208,31803,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
17,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,16,1,32,20.0965,24.6641,4.56759,0.751728,0.803441,1.55517,26.2193,31841,444208,21897,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
18,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,16,8,16,14.7716,19.3931,4.62158,0.552394,0.803441,1.35583,20.749,43331,450071,29543,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
19,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,4,16,8,32,21.7226,26.3441,4.62158,0.812566,0.803441,1.61601,27.9601,29457,450071,19637,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
20,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,16,1,16,14.0015,18.5691,4.56759,0.523587,0.803441,1.32703,19.8961,45715,444208,31803,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
21,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,16,1,32,20.0965,24.6641,4.56759,0.751728,0.803441,1.55517,26.2193,31841,444208,21897,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
22,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,16,8,16,14.7716,19.3931,4.62158,0.552394,0.803441,1.35583,20.749,43331,450071,29543,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
23,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,16,8,32,21.7226,26.3441,4.62158,0.812566,0.803441,1.61601,27.9601,29457,450071,19637,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
24,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,16,1,16,14.0031,18.5707,4.56759,0.523724,0.803441,1.32717,19.8979,45703,444208,31793,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
25,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,16,1,32,20.1011,24.6687,4.56759,0.752011,0.803441,1.55545,26.2242,31829,444208,21887,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
26,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,16,8,16,14.7735,19.395,4.62158,0.552547,0.803441,1.35599,20.751,43319,450071,29533,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
27,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,16,8,32,21.7282,26.3498,4.62158,0.812898,0.803441,1.61634,27.9661,29445,450071,19627,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
28,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,16,1,16,14.0031,18.5707,4.56759,0.523724,0.803441,1.32717,19.8979,45703,444208,31793,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
29,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,16,1,32,20.1011,24.6687,4.56759,0.752011,0.803441,1.55545,26.2242,31829,444208,21887,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
30,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,16,8,16,14.7735,19.395,4.62158,0.552547,0.803441,1.35599,20.751,43319,450071,29533,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
31,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,16,8,32,21.7282,26.3498,4.62158,0.812898,0.803441,1.61634,27.9661,29445,450071,19627,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
32,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,16,1,16,13.9474,18.4736,4.52616,0.251924,0.40172,0.653644,19.1273,47506,451532,31610,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
33,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,16,1,32,18.6039,23.1301,4.52616,0.336073,0.40172,0.737793,23.8679,35611,451532,21699,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
34,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,16,8,16,14.7049,19.2876,4.5827,0.265605,0.40172,0.667325,19.9549,45059,457911,29349,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
35,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,16,8,32,19.976,24.5587,4.5827,0.360859,0.40172,0.762579,25.3213,33165,457911,19439,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
36,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,16,1,16,13.9474,18.4736,4.52616,0.251924,0.40172,0.653644,19.1273,47506,451532,31610,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
37,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,16,1,32,18.6039,23.1301,4.52616,0.336073,0.40172,0.737793,23.8679,35611,451532,21699,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
38,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,16,8,16,14.7049,19.2876,4.5827,0.265605,0.40172,0.667325,19.9549,45059,457911,29349,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
39,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,16,8,32,19.976,24.5587,4.5827,0.360859,0.40172,0.762579,25.3213,33165,457911,19439,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
40,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,4,16,1,16,13.9504,18.4765,4.52616,0.252009,0.40172,0.653729,19.1303,47490,451532,31597,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
41,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,4,16,1,32,18.6083,23.1345,4.52616,0.336195,0.40172,0.737916,23.8724,35598,451532,21689,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
42,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,4,16,8,16,14.7079,19.2906,4.5827,0.265693,0.40172,0.667414,19.958,45044,457911,29337,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
43,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,4,16,8,32,19.9813,24.564,4.5827,0.361,0.40172,0.762721,25.3267,33152,457911,19429,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
44,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,16,16,1,16,13.9504,18.4765,4.52616,0.252009,0.40172,0.653729,19.1303,47490,451532,31597,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
45,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,16,16,1,32,18.6083,23.1345,4.52616,0.336195,0.40172,0.737916,23.8724,35598,451532,21689,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
46,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,16,16,8,16,14.7079,19.2906,4.5827,0.265693,0.40172,0.667414,19.958,45044,457911,29337,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
47,"['A', 'I']",10,256,16,32,spad,cyclic,True,1,16,16,8,32,19.9813,24.564,4.5827,0.361,0.40172,0.762721,25.3267,33152,457911,19429,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
