,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",1,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.09207,2.82481,0.732742,0.930577,0.378279,1.30886,4.13367,1998292,71138.8,1203118,28768.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99907.2
1,"['A', 'I']",1,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.20819,2.94094,0.732742,1.69375,0.69821,2.39196,5.3329,1900987,71138.8,1100339,63121.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,134260
2,"['A', 'I']",1,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.32117,3.00938,0.688217,2.07218,1.33268,3.40487,6.41425,1818687,66041.6,1004072,105131,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,171172
3,"['A', 'I']",1,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,2.92643,3.65917,0.732742,1.2111,0.378279,1.58938,5.24855,1408247,71138.8,742056,28768.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99907.2
4,"['A', 'I']",1,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.13606,3.8688,0.732742,2.21043,0.69821,2.90864,6.77745,1319773,71138.8,648385,63121.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,134260
5,"['A', 'I']",1,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.36483,4.05305,0.688217,2.75225,1.33268,4.08494,8.13799,1237091,66041.6,551500,105131,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,171172
6,"['A', 'I']",1,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.2924,5.02514,0.732742,1.78596,0.378279,2.16424,7.18938,954965,71138.8,383066,28768.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99907.2
7,"['A', 'I']",1,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.57017,5.30291,0.732742,3.2359,0.69821,3.93411,9.23702,901531,71138.8,318295,63121.4,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,134260
8,"['A', 'I']",1,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.19085,5.92122,0.730376,4.24729,1.33268,5.57998,11.5012,801637,70947.3,212810,105131,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,176078
9,"['A', 'I']",1,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,4.63802,5.37312,0.735109,1.93876,0.378279,2.31703,7.69016,879704,71330.2,322194,28768.4,188,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,100099
