,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,256,16,64,spad,block,True,1,4,8,1,3.86651,13.9758,10.1093,0.292023,1.3152,1.60722,15.583,1269059,828028,528074,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
1,"['A', 'I']",5,256,16,64,spad,block,True,1,4,8,8,3.89471,14.0158,10.1211,0.294155,1.3152,1.60936,15.6252,1259863,828985,519265,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
2,"['A', 'I']",5,256,16,64,spad,block,True,1,4,16,1,4.11874,14.228,10.1093,0.317034,1.3152,1.63224,15.8602,1168943,828028,442157,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
3,"['A', 'I']",5,256,16,64,spad,block,True,1,4,16,8,4.15137,14.2725,10.1211,0.319548,1.3152,1.63475,15.9072,1159748,828985,433349,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
4,"['A', 'I']",5,256,16,64,spad,block,True,1,4,32,1,4.16324,14.2725,10.1093,0.330909,1.3152,1.64611,15.9186,1119929,828028,399716,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
5,"['A', 'I']",5,256,16,64,spad,block,True,1,4,32,8,4.19768,14.3188,10.1211,0.333649,1.3152,1.64885,15.9676,1110734,828985,390908,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
6,"['A', 'I']",5,256,16,64,spad,block,True,1,16,8,1,3.86651,13.9758,10.1093,0.292023,1.3152,1.60722,15.583,1269059,828028,528074,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
7,"['A', 'I']",5,256,16,64,spad,block,True,1,16,8,8,3.89471,14.0158,10.1211,0.294155,1.3152,1.60936,15.6252,1259863,828985,519265,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
8,"['A', 'I']",5,256,16,64,spad,block,True,1,16,16,1,4.11874,14.228,10.1093,0.317034,1.3152,1.63224,15.8602,1168943,828028,442157,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
9,"['A', 'I']",5,256,16,64,spad,block,True,1,16,16,8,4.15137,14.2725,10.1211,0.319548,1.3152,1.63475,15.9072,1159748,828985,433349,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
10,"['A', 'I']",5,256,16,64,spad,block,True,1,16,32,1,4.16324,14.2725,10.1093,0.330909,1.3152,1.64611,15.9186,1119929,828028,399716,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,915237
11,"['A', 'I']",5,256,16,64,spad,block,True,1,16,32,8,4.19768,14.3188,10.1211,0.333649,1.3152,1.64885,15.9676,1110734,828985,390908,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,916194
12,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,8,1,9.36527,22.326,12.9607,0.673601,1.3152,1.9888,24.3148,550170,1.17367e+06,372479,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
13,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,8,8,9.52428,22.4968,12.9725,0.68505,1.3152,2.00025,24.4971,540975,1.17463e+06,363851,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
14,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,16,1,16.0263,28.987,12.9607,1.15297,1.3152,2.46817,31.4552,321426,1.17367e+06,209767,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
15,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,16,8,16.4979,29.4705,12.9725,1.18693,1.3152,2.50213,31.9726,312231,1.17463e+06,201139,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
16,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,32,1,23.0736,36.0343,12.9607,1.65914,1.3152,2.97434,39.0086,223366,1.17367e+06,128405,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
17,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,4,32,8,24.0638,37.0363,12.9725,1.73037,1.3152,3.04557,40.0819,214171,1.17463e+06,119777,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
18,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,8,1,9.36527,22.326,12.9607,0.673601,1.3152,1.9888,24.3148,550170,1.17367e+06,372479,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
19,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,8,8,9.52428,22.4968,12.9725,0.68505,1.3152,2.00025,24.4971,540975,1.17463e+06,363851,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
20,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,16,1,16.0263,28.987,12.9607,1.15297,1.3152,2.46817,31.4552,321426,1.17367e+06,209767,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
21,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,16,8,16.4979,29.4705,12.9725,1.18693,1.3152,2.50213,31.9726,312231,1.17463e+06,201139,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
22,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,32,1,23.0736,36.0343,12.9607,1.65914,1.3152,2.97434,39.0086,223366,1.17367e+06,128405,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26088e+06
23,"['A', 'I']",5,256,16,64,spad,cyclic,True,1,16,32,8,24.0638,37.0363,12.9725,1.73037,1.3152,3.04557,40.0819,214171,1.17463e+06,119777,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.26184e+06
24,"['A', 'I']",5,256,32,64,spad,block,True,1,4,8,1,3.91544,14.0247,10.1093,0.210639,1.48913,1.69977,15.7245,1250371,828028,533194,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
25,"['A', 'I']",5,256,32,64,spad,block,True,1,4,8,8,3.94442,14.0655,10.1211,0.212199,1.48913,1.70133,15.7668,1241175,828985,524379,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
26,"['A', 'I']",5,256,32,64,spad,block,True,1,4,16,1,4.1712,14.2804,10.1093,0.22887,1.48913,1.718,15.9985,1150767,828028,449837,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
27,"['A', 'I']",5,256,32,64,spad,block,True,1,4,16,8,4.20477,14.3259,10.1211,0.230714,1.48913,1.71985,16.0457,1141572,828985,441023,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
28,"['A', 'I']",5,256,32,64,spad,block,True,1,4,32,1,4.2131,14.3223,10.1093,0.238997,1.48913,1.72813,16.0505,1102009,828028,408676,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
29,"['A', 'I']",5,256,32,64,spad,block,True,1,4,32,8,4.24852,14.3696,10.1211,0.241008,1.48913,1.73014,16.0997,1092814,828985,399862,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
30,"['A', 'I']",5,256,32,64,spad,block,True,1,16,8,1,3.91544,14.0247,10.1093,0.210639,1.48913,1.69977,15.7245,1250371,828028,533194,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
31,"['A', 'I']",5,256,32,64,spad,block,True,1,16,8,8,3.94442,14.0655,10.1211,0.212199,1.48913,1.70133,15.7668,1241175,828985,524379,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
32,"['A', 'I']",5,256,32,64,spad,block,True,1,16,16,1,4.1712,14.2804,10.1093,0.22887,1.48913,1.718,15.9985,1150767,828028,449837,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
33,"['A', 'I']",5,256,32,64,spad,block,True,1,16,16,8,4.20477,14.3259,10.1211,0.230714,1.48913,1.71985,16.0457,1141572,828985,441023,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
34,"['A', 'I']",5,256,32,64,spad,block,True,1,16,32,1,4.2131,14.3223,10.1093,0.238997,1.48913,1.72813,16.0505,1102009,828028,408676,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,924287
35,"['A', 'I']",5,256,32,64,spad,block,True,1,16,32,8,4.24852,14.3696,10.1211,0.241008,1.48913,1.73014,16.0997,1092814,828985,399862,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,925244
36,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,4,8,1,9.64758,23.3964,13.7488,0.493174,1.48913,1.98231,25.3787,534044,1.26135e+06,372479,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.35761e+06
37,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,4,8,8,9.81317,23.616,13.8028,0.501633,1.48913,1.99077,25.6068,525038,1.26721e+06,363851,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.36347e+06
38,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,4,16,1,16.8719,30.6208,13.7488,0.862681,1.48913,2.35181,32.9726,305300,1.26135e+06,209767,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.35761e+06
39,"['A', 'I']",5,256,32,64,spad,cyclic,True,1,4,16,8,17.385,31.1878,13.8028,0.888903,1.48913,2.37804,33.5658,296294,1.26721e+06,201139,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.36347e+06
