,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,2,1.94876,12.0604,10.1116,0.0764437,1.60688,1.68333,13.7437,2495294,828220,1501052,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
1,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,4,2.93641,13.048,10.1116,0.115135,1.60688,1.72202,14.77,1656742,828220,856053,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
2,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,8,3.95168,14.0633,10.1116,0.154139,1.60688,1.76102,15.8243,1237518,828220,533597,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
3,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,16,4.20142,14.313,10.1116,0.167211,1.60688,1.77409,16.0871,1140774,828220,452981,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
4,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,32,4.24119,14.3528,10.1116,0.174615,1.60688,1.7815,16.1343,1092402,828220,412673,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
5,"['A', 'I']",5,256,64,64,spad,block,True,1,4,64,1,64,4.15337,14.265,10.1116,0.173973,1.60688,1.78085,16.0458,1096433,828220,412672,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
6,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,2,1.94876,12.0604,10.1116,0.0764437,1.60688,1.68333,13.7437,2495294,828220,1501052,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
7,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,4,2.93641,13.048,10.1116,0.115135,1.60688,1.72202,14.77,1656742,828220,856053,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
8,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,8,3.95168,14.0633,10.1116,0.154139,1.60688,1.76102,15.8243,1237518,828220,533597,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
9,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,16,4.20142,14.313,10.1116,0.167211,1.60688,1.77409,16.0871,1140774,828220,452981,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
10,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,32,4.24119,14.3528,10.1116,0.174615,1.60688,1.7815,16.1343,1092402,828220,412673,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
11,"['A', 'I']",5,256,64,64,spad,block,True,1,16,64,1,64,4.15337,14.265,10.1116,0.173973,1.60688,1.78085,16.0458,1096433,828220,412672,107829,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,936049
12,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,2,2.21407,12.5822,10.3681,0.0859129,3.21376,3.29968,15.8819,2220266,859118,1399082,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
13,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,4,3.55871,13.9268,10.3681,0.138046,3.21376,3.35181,17.2786,1381781,859118,754140,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
14,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,8,5.13578,15.5039,10.3681,0.19817,3.21376,3.41193,18.9158,962557,859118,431684,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
15,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,16,5.59717,15.9653,10.3681,0.220313,3.21376,3.43408,19.3994,865813,859118,351068,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
16,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,32,5.73296,16.1011,10.3681,0.23335,3.21376,3.44711,19.5482,817441,859118,310760,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
17,"['A', 'I']",5,256,128,64,spad,block,True,1,4,64,1,64,8.45328,18.8214,10.3681,0.34594,3.21376,3.5597,22.3811,551395,859118,210026,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
18,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,2,2.21407,12.5822,10.3681,0.0859129,3.21376,3.29968,15.8819,2220266,859118,1399082,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
19,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,4,3.55871,13.9268,10.3681,0.138046,3.21376,3.35181,17.2786,1381781,859118,754140,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
20,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,8,5.13578,15.5039,10.3681,0.19817,3.21376,3.41193,18.9158,962557,859118,431684,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
21,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,16,5.59717,15.9653,10.3681,0.220313,3.21376,3.43408,19.3994,865813,859118,351068,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
22,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,32,5.73296,16.1011,10.3681,0.23335,3.21376,3.44711,19.5482,817441,859118,310760,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
23,"['A', 'I']",5,256,128,64,spad,block,True,1,16,64,1,64,8.45328,18.8214,10.3681,0.34594,3.21376,3.5597,22.3811,551395,859118,210026,215658,4173,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,1.07478e+06
24,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,2,2.41658,13.3024,10.8858,0.0910145,6.42753,6.51854,19.8209,2095814,921296,1357842,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
25,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,4,4.02792,14.9137,10.8858,0.151706,6.42753,6.57923,21.493,1257359,921296,712928,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
26,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,8,6.07609,16.9619,10.8858,0.227588,6.42753,6.65512,23.617,838135,921296,390472,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
27,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,16,6.73753,17.6234,10.8858,0.257286,6.42753,6.68481,24.3082,741391,921296,309856,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
28,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,32,11.01,21.8958,10.8858,0.422799,6.42753,6.85033,28.7461,451159,921296,188968,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
29,"['A', 'I']",5,256,256,64,spad,block,True,1,4,64,1,64,16.1989,27.0847,10.8858,0.623277,6.42753,7.0508,34.1356,306043,921296,128524,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
30,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,2,2.41658,13.3024,10.8858,0.0910145,6.42753,6.51854,19.8209,2095814,921296,1357842,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
31,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,4,4.02792,14.9137,10.8858,0.151706,6.42753,6.57923,21.493,1257359,921296,712928,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
32,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,8,6.07609,16.9619,10.8858,0.227588,6.42753,6.65512,23.617,838135,921296,390472,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
33,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,16,6.73753,17.6234,10.8858,0.257286,6.42753,6.68481,24.3082,741391,921296,309856,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
34,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,32,11.01,21.8958,10.8858,0.422799,6.42753,6.85033,28.7461,451159,921296,188968,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
35,"['A', 'I']",5,256,256,64,spad,block,True,1,16,64,1,64,16.1989,27.0847,10.8858,0.623277,6.42753,7.0508,34.1356,306043,921296,128524,431316,4185,2,20,16,./outputs/mat_inv-gem5-accel,mat_inv,1.35261e+06
36,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,2,2.53987,14.4611,11.9213,0.0937928,12.8551,12.9488,27.41,2033734,1.04565e+06,1337351,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
37,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,4,4.32069,16.2419,11.9213,0.159585,12.8551,13.0146,29.2566,1195286,1.04565e+06,692439,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
38,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,8,6.69232,18.6136,11.9213,0.245792,12.8551,13.1008,31.7144,776062,1.04565e+06,369983,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
39,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,16,11.8102,23.7314,11.9213,0.436041,12.8551,13.2911,37.0225,437458,1.04565e+06,208787,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
40,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,32,19.2481,31.1693,11.9213,0.711338,12.8551,13.5664,44.7357,268156,1.04565e+06,128189,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
41,"['A', 'I']",5,256,512,64,spad,block,True,1,4,64,1,64,28.1111,40.0323,11.9213,1.03948,12.8551,13.8945,53.9268,183505,1.04565e+06,87890,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
42,"['A', 'I']",5,256,512,64,spad,block,True,1,16,64,1,2,2.53987,14.4611,11.9213,0.0937928,12.8551,12.9488,27.41,2033734,1.04565e+06,1337351,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
43,"['A', 'I']",5,256,512,64,spad,block,True,1,16,64,1,4,4.32069,16.2419,11.9213,0.159585,12.8551,13.0146,29.2566,1195286,1.04565e+06,692439,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
44,"['A', 'I']",5,256,512,64,spad,block,True,1,16,64,1,8,6.69232,18.6136,11.9213,0.245792,12.8551,13.1008,31.7144,776062,1.04565e+06,369983,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
45,"['A', 'I']",5,256,512,64,spad,block,True,1,16,64,1,16,11.8102,23.7314,11.9213,0.436041,12.8551,13.2911,37.0225,437458,1.04565e+06,208787,862632,4209,2,40,32,./outputs/mat_inv-gem5-accel,mat_inv,1.90828e+06
