,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,2,1.79711,11.8783,10.0812,0.772664,1.27453,2.04719,13.9255,2890430,824093,1339772,79325.3,4168,2,3,4,./outputs/mat_inv-gem5-accel,mat_inv,903418
1,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,4,2.46898,12.5806,10.1116,1.05531,1.27453,2.32984,14.9104,2116280,828220,694765,79325.3,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,907545
2,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,8,2.86791,12.9643,10.0964,1.22304,1.27453,2.49757,15.4619,1826044,826156,372277,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
3,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,16,3.06375,13.1602,10.0964,1.30362,1.27453,2.57815,15.7383,1713176,826156,211025,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
4,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,32,3.17098,13.2674,10.0964,1.34803,1.27453,2.62256,15.8899,1656742,826156,130399,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
5,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,4,64,1,64,3.22762,13.324,10.0964,1.37138,1.27453,2.64591,15.9699,1628525,826156,90086,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
6,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,2,1.79711,11.8783,10.0812,0.772664,1.27453,2.04719,13.9255,2890430,824093,1339772,79325.3,4168,2,3,4,./outputs/mat_inv-gem5-accel,mat_inv,903418
7,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,4,2.46898,12.5806,10.1116,1.05531,1.27453,2.32984,14.9104,2116280,828220,694765,79325.3,4168,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,907545
8,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,8,2.86791,12.9643,10.0964,1.22304,1.27453,2.49757,15.4619,1826044,826156,372277,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
9,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,16,3.06375,13.1602,10.0964,1.30362,1.27453,2.57815,15.7383,1713176,826156,211025,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
10,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,32,3.17098,13.2674,10.0964,1.34803,1.27453,2.62256,15.8899,1656742,826156,130399,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
11,"['A', 'I']",5,256,1,64,spad,cyclic,True,1,16,64,1,64,3.22762,13.324,10.0964,1.37138,1.27453,2.64591,15.9699,1628525,826156,90086,79325.3,4168,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,905482
12,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,2,2.32004,12.6834,10.3634,0.557775,1.35079,1.90856,14.592,2239384,858735,1338349,81420.4,4171,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,940155
13,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,4,3.54009,13.8731,10.333,0.852379,1.35079,2.20316,16.0762,1465396,854608,693421,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
14,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,8,4.81319,15.1462,10.333,1.15824,1.35079,2.50903,17.6552,1078420,854608,370957,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
15,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,16,5.56219,15.8952,10.333,1.33833,1.35079,2.68912,18.5843,933304,854608,209713,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
16,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,32,5.92733,16.2603,10.333,1.42447,1.35079,2.77525,19.0355,876870,854608,129087,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
17,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,4,64,1,64,6.12916,16.4621,10.333,1.47183,1.35079,2.82262,19.2847,848653,854608,88774,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
18,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,2,2.32004,12.6834,10.3634,0.557775,1.35079,1.90856,14.592,2239384,858735,1338349,81420.4,4171,2,10,8,./outputs/mat_inv-gem5-accel,mat_inv,940155
19,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,4,3.54009,13.8731,10.333,0.852379,1.35079,2.20316,16.0762,1465396,854608,693421,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
20,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,8,4.81319,15.1462,10.333,1.15824,1.35079,2.50903,17.6552,1078420,854608,370957,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
21,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,16,5.56219,15.8952,10.333,1.33833,1.35079,2.68912,18.5843,933304,854608,209713,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
22,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,32,5.92733,16.2603,10.333,1.42447,1.35079,2.77525,19.0355,876870,854608,129087,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
23,"['A', 'I']",5,256,2,64,spad,cyclic,True,1,16,64,1,64,6.12916,16.4621,10.333,1.47183,1.35079,2.82262,19.2847,848653,854608,88774,81420.4,4171,2,8,8,./outputs/mat_inv-gem5-accel,mat_inv,936028
24,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,2,2.53666,13.3427,10.8061,0.368916,1.45612,1.82503,15.1678,2042720,911511,1337555,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
25,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,4,4.52022,15.3263,10.8061,0.661175,1.45612,2.11729,17.4436,1139776,911511,692659,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
26,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,8,6.86952,17.6756,10.8061,1.00105,1.45612,2.45717,20.1328,752800,911511,370195,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
27,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,16,9.24956,20.0556,10.8061,1.34735,1.45612,2.80347,22.8591,559312,911511,208963,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
28,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,32,10.6252,21.4313,10.8061,1.5482,1.45612,3.00431,24.4356,486754,911511,128341,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
29,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,4,64,1,64,11.2855,22.0916,10.8061,1.64347,1.45612,3.09959,25.1912,458537,911511,88028,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
30,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,16,64,1,2,2.53666,13.3427,10.8061,0.368916,1.45612,1.82503,15.1678,2042720,911511,1337555,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
31,"['A', 'I']",5,256,4,64,spad,cyclic,True,1,16,64,1,4,4.52022,15.3263,10.8061,0.661175,1.45612,2.11729,17.4436,1139776,911511,692659,83836.6,4177,2,16,16,./outputs/mat_inv-gem5-accel,mat_inv,995347
