,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,Runtime,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,1,0.781699,1.55331,0.771612,0.452099,0.356335,0.808434,2.36175,5840861,29204.305,75116.4,4528898,27118.8,197,2,6,5,./outputs/mat_inv-gem5-accel,mat_inv,102235
1,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,16,1,0.788971,1.60748,0.818504,0.4564,0.356335,0.812734,2.42021,5785822,28929.11,80404.9,4475248,27118.8,199,2,6,6,./outputs/mat_inv-gem5-accel,mat_inv,107524
2,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,64,1,0.788971,1.60748,0.818504,0.4564,0.356335,0.812734,2.42021,5785822,28929.11,80404.9,4475248,27118.8,199,2,6,6,./outputs/mat_inv-gem5-accel,mat_inv,107524
3,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,1,0.80747,1.57908,0.771612,0.829556,0.649817,1.47937,3.05846,5665317,28326.585,75116.4,4350104,52485.5,197,2,6,5,./outputs/mat_inv-gem5-accel,mat_inv,127602
4,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,16,1,0.816617,1.63512,0.818504,0.838644,0.649817,1.48846,3.12358,5603925,28019.625,80404.9,4288653,52485.5,199,2,6,6,./outputs/mat_inv-gem5-accel,mat_inv,132890
5,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,64,1,0.816617,1.63512,0.818504,0.838644,0.649817,1.48846,3.12358,5603925,28019.625,80404.9,4288653,52485.5,199,2,6,6,./outputs/mat_inv-gem5-accel,mat_inv,132890
6,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,1,0.833496,1.56295,0.729453,1.02548,1.25407,2.27955,3.8425,5524008,27620.04,70210.7,4205695,105153,197,2,6,4,./outputs/mat_inv-gem5-accel,mat_inv,175364
7,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,16,1,0.836644,1.61299,0.776345,1.02938,1.25407,2.28346,3.89645,5503049,27515.245,75499.2,4185234,105153,199,2,6,5,./outputs/mat_inv-gem5-accel,mat_inv,180653
8,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,64,1,0.836644,1.61299,0.776345,1.02938,1.25407,2.28346,3.89645,5503049,27515.245,75499.2,4185234,105153,199,2,6,5,./outputs/mat_inv-gem5-accel,mat_inv,180653
9,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,1,1,0.8335,1.56295,0.729453,1.3219,2.4606,3.7825,5.34546,5523984,27619.92,70210.7,4205671,189693,197,2,6,4,./outputs/mat_inv-gem5-accel,mat_inv,259903
